budget,genres,id,keywords,original_language,popularity,production_companies,production_countries,revenue,runtime,status,title,vote_average,vote_count,cast,year,director,producer
37000000,Animation | Family,11802,Animation | Family,en,6.293217,Starz Media | Starz Animation | Odyssey Entertainment | Studiopolis | Vanguard Animation,United States of America,63800345,81.0,Released,Space Chimps,5.2,99,Andy Samberg | Cheryl Hines,2008,Kirk De Micco,Barry Sonnenfeld
0,Comedy,9776,Comedy,en,3.457194,DreamWorks SKG | 3 Arts Entertainment,United States of America,0,95.0,Released,Head of State,5.3,71,Chris Rock | Bernie Mac,2003,Chris Rock,Chris Rock
36000000,Action | Drama | History,365222,Action | Drama | History,cn,19.167377,Mandarin Films Distribution Co.,Hong Kong,156844753,105.0,Released,Ip Man 3,6.5,379,Donnie Yen | Lynn Hung,2015,Wilson Yip,Bak-Ming Wong
0,Drama,45054,Drama,en,6.668679,Unknown,Unknown,0,112.0,Released,There Be Dragons,5.9,27,Charlie Cox | Dougray Scott,2011,Roland Joffé,
35000000,Action | Comedy | Family | Adventure,10054,Action | Comedy | Family | Adventure,en,21.543389,Dimension Films | Troublemaker Studios | Miramax,United States of America,147934180,88.0,Released,Spy Kids,5.5,867,Alexa PenaVega | Daryl Sabara,2001,Robert Rodriguez,Robert Rodriguez
35000000,Science Fiction | Adventure | Mystery,152,Science Fiction | Adventure | Mystery,en,24.616634,Paramount Pictures,United States of America,139000000,132.0,Released,Star Trek: The Motion Picture,6.2,530,William Shatner | Leonard Nimoy,1979,Robert Wise,Gene Roddenberry
35000000,Comedy | Crime,109431,Comedy | Crime,en,34.005726,Stuber Productions | Aggregate Films | DumbDumb,United States of America,173965010,111.0,Released,Identity Thief,5.6,1645,Jason Bateman | Melissa McCarthy,2013,Seth Gordon,Pamela Abdy
35000000,Crime | Thriller,1598,Crime | Thriller,en,27.714043,Universal Pictures | Amblin Entertainment | Cappa Productions | Tribeca Productions,United States of America,182300000,128.0,Released,Cape Fear,7.0,675,Robert De Niro | Nick Nolte,1991,Martin Scorsese,Robert De Niro
35000000,Drama | Crime,8065,Drama | Crime,en,45.149948,Columbia Pictures | Relativity Media,United States of America,69823199,123.0,Released,21,6.5,1375,Jim Sturgess | Kevin Spacey,2008,Robert Luketic,Michael De Luca
35000000,Comedy | Romance,11638,Comedy | Romance,en,3.74263,Columbia Pictures | Regency Enterprises | 3 Arts Entertainment | Tall Trees Productions,United States of America,68915888,105.0,Released,Guess Who,5.5,225,Bernie Mac | Ashton Kutcher,2005,Kevin Rodney Sullivan,Erwin Stoff
35000000,Crime | Drama | Mystery | Thriller,2118,Crime | Drama | Mystery | Thriller,en,24.860326,Regency Enterprises | Wolper Organization | Warner Bros.,United States of America,126216940,138.0,Released,L.A. Confidential,7.7,1310,Kevin Spacey | Guy Pearce,1997,Curtis Hanson,Curtis Hanson
35000000,Adventure | Comedy | Family,11459,Adventure | Comedy | Family,en,11.041659,Walt Disney Pictures | Gunn Films | Max Stronghold Productions Inc.,United States of America,86369815,100.0,Released,Sky High,5.8,550,Michael Angarano | Kurt Russell,2005,Mike Mitchell,Mario Iscovich
35000000,Comedy | Romance,10806,Comedy | Romance,en,11.897925,Paramount Pictures | Spelling Films,United States of America,0,90.0,Released,In & Out,6.3,177,Kevin Kline | Joan Cusack,1997,Frank Oz,Scott Rudin
35000000,Science Fiction | Horror | Action,9348,Science Fiction | Horror | Action,en,23.607071,Metro-Goldwyn-Mayer (MGM),United States of America,113374103,108.0,Released,Species,5.5,453,Natasha Henstridge | Ben Kingsley,1995,Roger Donaldson,Frank Mancuso Jr.
1800000,Horror,377,Horror,en,38.204158,New Line Cinema | Smart Egg Pictures,United States of America,25504513,91.0,Released,A Nightmare on Elm Street,7.2,1180,John Saxon | Ronee Blakley,1984,Wes Craven,Robert Shaye
33000000,Horror | Science Fiction | Thriller,8843,Horror | Science Fiction | Thriller,en,25.413955,New Line Cinema | Avery Pix | Radical Media | Katira Productions GmbH & Co. KG | Caro-McLeod,Germany | United States of America,104155843,107.0,Released,The Cell,6.0,436,Jennifer Lopez | Vincent D'Onofrio,2000,Tarsem Singh,Eric McLeod
0,Action | Adventure | Drama,9313,Action | Adventure | Drama,en,28.98027,United Artists Corporation,United Kingdom | United States of America,0,132.0,Released,The Man in the Iron Mask,6.3,1018,Leonardo DiCaprio | Jeremy Irons,1998,Randall Wallace,Randall Wallace
35000000,Drama,39486,Drama,en,9.525037,Walt Disney Pictures | Fast Track Productions | Mayhem Pictures,United States of America,60251371,123.0,Released,Secretariat,6.8,103,Diane Lane | John Malkovich,2010,Randall Wallace,Mark Ciardi
34000000,Adventure | Animation | Comedy | Family,1273,Adventure | Animation | Comedy | Family,en,18.39217,The Weinstein Company | Imagi Animation Studios | Warner Bros. | Mirage Studios | Imagi Production,United States of America,95608995,90.0,Released,TMNT,6.0,345,Chris Evans | Sarah Michelle Gellar,2007,Kevin Munroe,Thomas K. Gray
32000000,Drama,13920,Drama,en,9.254647,Revolution Studios | Tollin/Robbins Productions,United States of America,52277485,109.0,Released,Radio,6.8,141,Cuba Gooding Jr. | Ed Harris,2003,Mike Tollin,Herb Gains
35000000,Comedy,325133,Comedy,en,50.179171,Universal Pictures | Perfect World Pictures | Point Grey Pictures | Good Universe,United States of America,108758521,91.0,Released,Neighbors 2: Sorority Rising,5.6,1462,Seth Rogen | Rose Byrne,2016,Nicholas Stoller,Seth Rogen
35000000,Comedy | Drama | History,140823,Comedy | Drama | History,en,31.957947,Walt Disney Pictures | BBC Films | Ruby Films | Essential Media & Entertainment | Hopscotch Features,Australia | United Kingdom | United States of America,112544580,125.0,Released,Saving Mr. Banks,7.3,1226,Emma Thompson | Tom Hanks,2013,John Lee Hancock,Philip Steuer
35000000,Comedy,89492,Comedy,en,38.429648,Apatow Productions,United States of America,88058786,134.0,Released,This Is 40,5.6,896,Paul Rudd | Leslie Mann,2012,Judd Apatow,Clayton Townsend
35000000,Comedy | Family,22949,Comedy | Family,en,13.707843,Walt Disney Pictures | Tapestry Films,United States of America,92219310,88.0,Released,Old Dogs,5.2,210,Robin Williams | John Travolta,2009,Walt Becker,Peter Abrams
35000000,Fantasy | Action | Adventure | Science Fiction | Thriller,12437,Fantasy | Action | Adventure | Science Fiction | Thriller,en,51.927471,Lakeshore Entertainment | Screen Gems | Sketch Films | UW3 Film Productions,United States of America,91353501,92.0,Released,Underworld: Rise of the Lycans,6.2,1428,Bill Nighy | Michael Sheen,2009,Patrick Tatopoulos,Len Wiseman
35000000,Comedy,2959,Comedy,en,14.503568,Village Roadshow Pictures | Robert Simonds Productions | Warner Bros. | Phoenix Pictures | Underground | Proposal Productions,Australia | United States of America,69307224,91.0,Released,License to Wed,5.2,253,Robin Williams | Mandy Moore,2007,Ken Kwapis,Bruce Berman
0,Comedy,9957,Comedy,en,6.74556,Columbia Pictures | Revolution Studios | Happy Madison Productions,United States of America,0,80.0,Released,The Benchwarmers,5.2,242,Jon Heder | Rob Schneider,2006,Dennis Dugan,Barry Bernardi
30000000,Comedy | Romance,11648,Comedy | Romance,en,11.120167,Team Todd | Warner Bros. | Ubu Productions,United States of America,58405313,98.0,Released,Must Love Dogs,5.8,140,Diane Lane | John Cusack,2005,Gary David Goldberg,Jennifer Todd
35000000,Crime | Drama | Thriller,9366,Crime | Drama | Thriller,en,40.370442,TriStar Pictures | Mark Johnson Productions | Phoenix Pictures | Baltimore Pictures,United States of America,41954997,127.0,Released,Donnie Brasco,7.4,1147,Johnny Depp | Al Pacino,1997,Mike Newell,Louis DiGiaimo
10700000,Horror,609,Horror,en,36.230204,SLM Production Group | Metro-Goldwyn-Mayer (MGM),United States of America,122200000,114.0,Released,Poltergeist,7.0,794,Craig T. Nelson | JoBeth Williams,1982,Tobe Hooper,Steven Spielberg
0,Comedy | Crime | Thriller,5516,Comedy | Crime | Thriller,en,23.666229,Mike Zoss Productions | The Jacobson Company | Touchstone Pictures,United States of America,0,104.0,Released,The Ladykillers,6.0,415,Tom Hanks | Irma P. Hall,2004,Joel Coen,Joel Coen
35000000,Action,13051,Action,en,25.903237,Dune Entertainment | Firm Films | Collision Entertainment | Abandon Entertainment | Foxtor Productions | Depth Entertainment,United States of America | Canada,85416905,100.0,Released,Max Payne,5.2,613,Mark Wahlberg | Mila Kunis,2008,John Moore,Tom Karnowski
35000000,Comedy | Romance,34806,Comedy | Romance,en,18.38292,Escape Artists | CBS Films,United States of America,77477008,106.0,Released,The Back-Up Plan,5.7,458,Jennifer Lopez | Alex O'Loughlin,2010,Alan Poul,Steve Tisch
35000000,Comedy | Drama | Romance,49022,Comedy | Drama | Romance,en,14.029012,Alcon Entertainment | Wild Ocean Films | 2S Films,United States of America,59901913,112.0,Released,Something Borrowed,5.9,296,Kate Hudson | Ginnifer Goodwin,2011,Luke Greenfield,
0,Adventure | Comedy | Fantasy,11469,Adventure | Comedy | Fantasy,en,15.913783,"Twentieth Century Fox Film Corporation | Regency Enterprises | Epsilon Motion Pictures | New Regency Pictures | Runteldat Entertainment | Firm, The",United States of America,0,95.0,Released,Black Knight,5.1,287,Martin Lawrence | Marsha Thomason,2001,Gil Junger,Michael Green
35000000,Comedy | Family,23479,Comedy | Family,en,6.889633,Paramount Pictures,United States of America,35323292,102.0,Released,The Bad News Bears,6.9,97,Walter Matthau | Tatum O'Neal,1976,Michael Ritchie,
35000000,Action | Adventure | Thriller,11667,Action | Adventure | Thriller,en,19.286099,Universal Pictures | Capcom,Japan | United States of America,99423521,102.0,Released,Street Fighter,4.1,325,Jean-Claude Van Damme | Raúl Juliá,1994,Steven E. de Souza,Tim Zinnemann
35000000,Drama | History,2447,Drama | History,en,3.721272,New Line Cinema | Sound for Film | Temple Hill Entertainment,United States of America,0,101.0,Released,The Nativity Story,6.4,35,Keisha Castle-Hughes | Oscar Isaac,2006,Catherine Hardwicke,Wyck Godfrey
40000000,Horror,10066,Horror,en,17.157738,Village Roadshow Pictures | Dark Castle Entertainment | Warner Bros.,United States of America,68766121,113.0,Released,House of Wax,5.5,677,Elisha Cuthbert | Paris Hilton,2005,Jaume Collet-Serra,Robert Zemeckis
27000000,Drama | Romance,2288,Drama | Romance,en,22.636908,Columbia Pictures,United States of America,115505027,104.0,Released,Closer,6.7,811,Julia Roberts | Jude Law,2004,Mike Nichols,Scott Rudin
35000000,Drama | Crime | History,88794,Drama | Crime | History,en,28.069419,Imagine Entertainment | Malpaso Productions | Wintergreen Productions,United States of America,84606030,137.0,Released,J. Edgar,6.0,741,Leonardo DiCaprio | Josh Hamilton,2011,Clint Eastwood,Clint Eastwood
35000000,Horror | Mystery | Thriller,13515,Horror | Mystery | Thriller,en,19.774543,Regency Enterprises | Castel Film Romania | ASAF | New Regency Pictures | Luna Pictures,Romania | United States of America,72436439,110.0,Released,Mirrors,6.0,485,Kiefer Sutherland | Paula Patton,2008,Alexandre Aja,Grégory Levasseur
35000000,Drama | Fantasy | Horror,11979,Drama | Fantasy | Horror,en,11.644243,Village Roadshow Pictures | NPV Entertainment | Warner Bros. | WV Films LLC | Material,Australia | United States of America,45479110,101.0,Released,Queen of the Damned,5.4,239,Stuart Townsend | Aaliyah,2002,Michael Rymer,Bruce Berman
35000000,Science Fiction | Action | Thriller,169,Science Fiction | Action | Thriller,en,27.934978,Twentieth Century Fox Film Corporation | Lawrence Gordon Productions | Davis Entertainment | Silver Pictures,United States of America,57120318,108.0,Released,Predator 2,5.9,730,Kevin Peter Hall | Danny Glover,1990,Stephen Hopkins,Joel Silver
35000000,Drama,8090,Drama,en,12.677505,Lakeshore Entertainment | Cohen/Pearl Productions | Screen Gems,United States of America,32483410,101.0,Released,Untraceable,5.9,238,Diane Lane | Billy Burke,2008,Gregory Hoblit,Tom Rosenberg
35000000,Comedy | Romance,11622,Comedy | Romance,en,8.737058,New Line Cinema | Forge | Midnight Sun Pictures,United States of America,40263020,112.0,Released,Blast from the Past,6.3,245,Brendan Fraser | Alicia Silverstone,1999,Hugh Wilson,Renny Harlin
35000000,Science Fiction,3604,Science Fiction,en,12.343507,Dino De Laurentiis Company | Starling Films,United States of America,27107960,111.0,Released,Flash Gordon,6.1,233,Sam J. Jones | Melody Anderson,1980,Mike Hodges,Dino De Laurentiis
35000000,Comedy | Romance,9541,Comedy | Romance,en,14.699342,Miramax Films | Beverly Detroit | View Askew Productions | Close Call Films,United States of America,36098382,102.0,Released,Jersey Girl,5.8,325,Ben Affleck | Raquel Castro,2004,Kevin Smith,Bob Weinstein
45000000,Action | Thriller | Crime | Mystery,94348,Action | Thriller | Crime | Mystery,en,14.513243,Summit Entertainment,United States of America,30353232,101.0,Released,Alex Cross,5.1,300,Tyler Perry | Rachel Nichols,2012,Rob Cohen,Steve Bowen
8900000,Crime | Action | Thriller,336004,Crime | Action | Thriller,en,15.079993,Emmett/Furla Films | Silver Plane Films | Mass Hysteria Entertainment | Tri Vision Pictures,United States of America,4100000,93.0,Released,Heist,5.6,318,Jeffrey Dean Morgan | Robert De Niro,2015,Scott Mann,Robert Jones
35000000,Comedy | Fantasy,35019,Comedy | Fantasy,en,23.835055,Universal Pictures | Three Strange Angels | Studio Canal | Relativity Media | Working Title Films,United States of America | United Kingdom | France,93246388,109.0,Released,Nanny McPhee and the Big Bang,6.0,436,Emma Thompson | Asa Butterfield,2010,Susanna White,Tim Bevan
35000000,Crime | History,10410,Crime | History,en,5.926966,Jersey Films | Twentieth Century Fox Film Corporation,United States of America,0,140.0,Released,Hoffa,6.1,81,Jack Nicholson | Danny DeVito,1992,Danny DeVito,Danny DeVito
30000000,Drama | Mystery | Science Fiction | Thriller,8836,Drama | Mystery | Science Fiction | Thriller,en,25.454549,Twentieth Century Fox Film Corporation | Ten Thirteen Productions | Dune Entertainment III | Crying Box Productions,Canada | United States of America,68369434,104.0,Released,The X Files: I Want to Believe,5.5,523,David Duchovny | Gillian Anderson,2008,Chris Carter,Chris Carter
31000000,Family | Fantasy | Comedy,14442,Family | Fantasy | Comedy,en,22.71592,World 2000 Entertainment | Enchanted Productions,Ireland | United Kingdom,27388767,96.0,Released,Ella Enchanted,5.9,437,Anne Hathaway | Hugh Dancy,2004,Tommy O'Haver,Bob Weinstein
35000000,Drama,321741,Drama,en,35.120736,Columbia Pictures | Village Roadshow Pictures | Scott Free Productions | LStar Capital | The Cantillon Company | The Shuman Company,Australia | United States of America | United Kingdom,50363790,123.0,Released,Concussion,7.0,823,Will Smith | Alec Baldwin,2015,Peter Landesman,Ridley Scott
35000000,Thriller | Action | Mystery,59965,Thriller | Action | Mystery,en,19.893646,Lions Gate Films | Vertigo Entertainment | Gotham Group | Tailor Made | Mango Farms | Quick Six Entertainment,United States of America,82087155,106.0,Released,Abduction,5.6,961,Taylor Lautner | Lily Collins,2011,John Singleton,Doug Davison
35000000,Animation | Family | Adventure,14175,Animation | Family | Adventure,en,14.051852,Vanguard Films | Scanbox,United Kingdom,19478106,76.0,Released,Valiant,5.2,235,Ewan McGregor | Ricky Gervais,2005,Gary Chapman,
35000000,Comedy | Drama,11004,Comedy | Drama,en,9.011729,Paramount Pictures | Scott Rudin Productions | Toho-Towa | Mutual Film Company | British Broadcasting Corporation (BBC) | Marubeni | Curtis Hanson Productions | MFF Feature Film Productions,Germany | Japan | United Kingdom | United States of America,0,111.0,Released,Wonder Boys,6.9,161,Michael Douglas | Tobey Maguire,2000,Curtis Hanson,Curtis Hanson
35000000,Action | Comedy | Science Fiction,11918,Action | Comedy | Science Fiction,en,19.088655,Dimension Films,United States of America,25871834,85.0,Released,Superhero Movie,4.9,379,Drake Bell | Sara Paxton,2008,Craig Mazin,Harvey Weinstein
56000000,Thriller | Crime | Drama,98357,Thriller | Crime | Drama,en,29.490057,Regency Enterprises | Inferno International | 1984 Private Defense Contractors | Closest to the Hole Productions | New Regency Pictures | Emmett/Furla Films | Envision Entertainment Corporation | Black Bear Pictures | Leverage Communications,United States of America,19701164,109.0,Released,Broken City,5.7,593,Mark Wahlberg | Russell Crowe,2013,Allen Hughes,Scott Lambert
35000000,Horror | Comedy,10012,Horror | Comedy,en,11.195593,Craven-Maddalena Films | Outerbanks Entertainment | Dimension Films | Kalis Productions GmbH & Co. Zweite KG,Germany | United States of America,19294901,97.0,Released,Cursed,5.1,167,Portia de Rossi | Christina Ricci,2005,Wes Craven,Bob Weinstein
35000000,Crime | Action | Thriller,49526,Crime | Action | Thriller,en,17.709888,Pariah Entertainment Group,United States of America,31083599,91.0,Released,Premium Rush,6.2,832,Joseph Gordon-Levitt | Michael Shannon,2012,David Koepp,
35000000,Action | Comedy | Crime,268920,Action | Comedy | Crime,en,18.262017,New Line Cinema | Warner Bros. | Metro-Goldwyn-Mayer (MGM) | Pacific Standard,United States of America,51680201,87.0,Released,Hot Pursuit,5.4,647,Reese Witherspoon | Sofía Vergara,2015,Anne Fletcher,Reese Witherspoon
35000000,War | Adventure | Drama | Romance,9093,War | Adventure | Drama | Romance,en,10.10364,Paramount Pictures | Miramax Films | Marty Katz Productions | Jaffilms Inc. | Dune Films | Belhaven Limited,United Kingdom | United States of America,29882645,132.0,Released,The Four Feathers,6.5,159,Heath Ledger | Wes Bentley,2002,Shekhar Kapur,Paul Feldsher
35000000,Action | Crime,119283,Action | Crime,en,28.670477,SND,United States of America,46216641,118.0,Released,Parker,5.7,1455,Jason Statham | Jennifer Lopez,2013,Taylor Hackford,Taylor Hackford
31000000,Comedy | Romance,11823,Comedy | Romance,en,16.736734,Universal Pictures,France | United Kingdom,41512007,98.0,Released,Wimbledon,6.0,293,Kirsten Dunst | Paul Bettany,2004,Richard Loncraine,Tim Bevan
35000000,Comedy,35169,Comedy,en,13.668633,Summit Entertainment | Robert Simonds Productions | Participant Media | Imagenation Abu Dhabi FZ | Furry Vengeance Productions,United Arab Emirates | United States of America,39340177,92.0,Released,Furry Vengeance,4.6,149,Brendan Fraser | Ken Jeong,2010,Roger Kumble,Brendan Fraser
30000000,Action | Horror | Thriller,118957,Action | Horror | Thriller,en,9.780588,Pictures in Paradise | Screen Australia | Media Development Authority (MDA) | Screen Queensland | Bait Productions | Story Bridge Films | Blackmagic Design Films,Singapore | Australia,0,93.0,Released,Bait,5.3,191,Sharni Vinson | Phoebe Tonkin,2012,Kimble Rendall,Gary Hamilton
27000000,Fantasy | Action | Adventure,849,Fantasy | Action | Adventure,en,9.904881,Columbia Pictures Corporation | Barclays Mercantile Industrial Finance,Spain | United Kingdom | Italy | United States of America,16519460,117.0,Released,Krull,5.8,129,Ken Marshall | Lysette Anthony,1983,Peter Yates,Geoffrey Helman
35000000,Action | Adventure | Drama | History,4515,Action | Adventure | Drama | History,en,9.789027,Cruise/Wagner Productions | United Artists | Wildwood Enterprises | Andell Entertainment | Metro-Goldwyn-Mayer (MGM) | Brat Na Pont Productions,United States of America,63215872,92.0,Released,Lions for Lambs,6.0,216,Robert Redford | Meryl Streep,2007,Robert Redford,Tom Cruise
35000000,Action | Adventure | Drama | Thriller,18886,Action | Adventure | Drama | Thriller,en,6.81729,Paramount Pictures,United States of America,0,115.0,Released,Flight of the Intruder,5.7,31,Danny Glover | Willem Dafoe,1991,John Milius,
35000000,Comedy | Music,6575,Comedy | Music,en,10.73522,Columbia Pictures Corporation | Apatow Productions,United States of America,18317151,96.0,Released,Walk Hard: The Dewey Cox Story,6.6,212,John C. Reilly | Jenna Fischer,2007,Jake Kasdan,Clayton Townsend
0,Drama | Romance,6440,Drama | Romance,en,11.1399,Miramax Films,United States of America,0,111.0,Released,The Shipping News,6.4,108,Kevin Spacey | Julianne Moore,2001,Lasse Hallström,Leslie Holleran
35000000,Action | Western,13496,Action | Western,en,6.727949,Morgan Creek Productions,United States of America,13678913,94.0,Released,American Outlaws,5.7,55,Colin Farrell | Scott Caan,2001,Les Mayfield,
35000000,Drama | History | Romance,18320,Drama | History | Romance,en,16.343317,GK Films,United Kingdom | United States of America,27409889,105.0,Released,The Young Victoria,7.0,322,Emily Blunt | Jim Broadbent,2009,Jean-Marc Vallée,Martin Scorsese
40000000,Action | Crime | Mystery | Thriller,22787,Action | Crime | Mystery | Thriller,en,14.818718,StudioCanal | Dark Castle Entertainment | Don Carmody Productions | Warner Bros. | Canadian Film or Video Production Tax Credit (CPTC) | Ontario Media Development Corporation (OMDC) | Manitoba Film and Video Production Tax Credit | McMurdo (Canada) Productions,Canada | France | United States of America,12206028,101.0,Released,Whiteout,5.3,220,Kate Beckinsale | Gabriel Macht,2009,Dominic Sena,Joel Silver
32000000,Drama | Fantasy,8967,Drama | Fantasy,en,43.862456,Fox Searchlight Pictures | Plan B Entertainment | River Road Entertainment,United States of America,54674226,139.0,Released,The Tree of Life,6.5,987,Brad Pitt | Sean Penn,2011,Terrence Malick,Brad Pitt
33000000,Action | Adventure | Thriller,37498,Action | Adventure | Thriller,en,2.706207,TriStar Pictures | Film Workshop | MDP Worldwide | Knock Films A.V.V. | Val D'Oro Entertainment,Aruba | Hong Kong | United States of America,0,91.0,Released,Knock Off,4.7,64,Jean-Claude Van Damme | Lela Rochon,1998,Tsui Hark,Nansun Shi
35000000,Action | Drama | Thriller | Crime,144336,Action | Drama | Thriller | Crime,en,27.903999,Open Road Films | QED International | Albert S. Ruddy Productions | Crave Films | Roth Films,United States of America,17508518,110.0,Released,Sabotage,5.5,555,Arnold Schwarzenegger | Sam Worthington,2014,David Ayer,David Ayer
35000000,Drama | Fantasy | Horror | Mystery | Romance | Thriller,9616,Drama | Fantasy | Horror | Mystery | Romance | Thriller,en,3.746806,Twentieth Century Fox Film Corporation | N1 European Film Produktions GmbH & Co. KG | Baumgarten Merims Productions,Germany | United States of America,11560806,102.0,Released,The Order,4.8,91,Heath Ledger | Shannyn Sossamon,2003,Brian Helgeland,Brian Helgeland
20500000,Action | Crime,13056,Action | Crime,en,17.112498,Lionsgate | MHF Zweite Academy Film | Marvel Knights | Valhalla Motion Pictures | SGF Entertainment | Muse Entertainment,Canada | Germany | United States of America,10089373,102.0,Released,Punisher: War Zone,5.6,294,Ray Stevenson | Dominic West,2008,Lexi Alexander,Gale Anne Hurd
35000000,Family | Fantasy | Comedy,14113,Family | Fantasy | Comedy,en,10.304172,Columbia Pictures | Revolution Studios,United States of America,12506188,83.0,Released,Zoom,4.9,135,Tim Allen | Courteney Cox,2006,Peter Hewitt,Jennifer Todd
35000000,Adventure | Drama | Thriller,285783,Adventure | Drama | Thriller,en,37.335721,TriStar Pictures | Sony Pictures Entertainment | ImageMovers,United States of America,61181942,123.0,Released,The Walk,6.9,1121,Joseph Gordon-Levitt | Ben Kingsley,2015,Robert Zemeckis,Robert Zemeckis
0,Fantasy | Family | Action,49478,Fantasy | Family | Action,en,0.912395,China Film Co-Production Corporation | Metro-Goldwyn-Mayer (MGM) | Law Brothers Entertainment | IJL Creations,China | United States of America,0,103.0,Released,Warriors of Virtue,4.7,9,Angus Macfadyen | Mario Yedidia,1997,Ronny Yu,
35000000,Comedy | Drama | Romance,9726,Comedy | Drama | Romance,en,16.782471,Fox 2000 Pictures | Scott Free Productions,United States of America,42064105,118.0,Released,A Good Year,6.5,357,Russell Crowe | Marion Cotillard,2006,Ridley Scott,Ridley Scott
35000000,Drama,20763,Drama,en,3.503408,Columbia Pictures | Stonebridge Entertainment | Donner/Shuler-Donner Productions,United States of America,4651977,114.0,Released,Radio Flyer,6.6,53,Elijah Wood | Lorraine Bracco,1992,Richard Donner,Michael Douglas
35000000,Action | Crime | Drama | Mystery | Thriller,9311,Action | Crime | Drama | Mystery | Thriller,en,5.419181,Fox Searchlight Pictures | Bavaria Film,Germany | Denmark | Sweden,0,121.0,Released,Smilla's Sense of Snow,6.6,60,Julia Ormond | Gabriel Byrne,1997,Bille August,Bernd Eichinger
35000000,Thriller | Crime | Romance,9280,Thriller | Crime | Romance,en,9.07278,Epsilon Motion Pictures | Quinta Communications,Switzerland | France,16838910,114.0,Released,Femme Fatale,6.2,142,Rebecca Romijn | Antonio Banderas,2002,Brian De Palma,Marina Gefter
35000000,War | Adventure | Drama | Romance,11876,War | Adventure | Drama | Romance,en,2.877488,France 2 Cinéma | Hachette Première | Canal+,France,15000000,135.0,Released,The Horseman on the Roof,6.7,25,Juliette Binoche | Olivier Martinez,1995,Jean-Paul Rappeneau,Bernard Bouix
38000000,Drama | War | Romance | Western,22267,Drama | War | Romance | Western,en,5.516207,Universal Pictures | Good Machine,United States of America,635096,138.0,Released,Ride with the Devil,6.6,49,Tobey Maguire | Skeet Ulrich,1999,Ang Lee,James Schamus
0,Drama,45958,Drama,es,13.930763,Ikiru Films | Mod Producciones | Televisión Española (TVE) | Menageatroz | Televisió de Catalunya (TV3) | Focus Features,Mexico | Spain,25147786,148.0,Released,Biutiful,7.0,291,Javier Bardem | Maricel Álvarez,2010,Alejandro González Iñárritu,Alejandro González Iñárritu
35000000,Action | Comedy | Western | Crime,1969,Action | Comedy | Western | Crime,es,20.27704,Ultra Films | TF1 Films Production | Canal+ | TPS Star | EuropaCorp | A.J.O.Z. Films,United States of America | France | Mexico,10496317,93.0,Released,Bandidas,5.8,307,Penélope Cruz | Salma Hayek,2006,Joachim Rønning,Luc Besson
35000000,Comedy,239573,Comedy,en,16.832312,Studio Babelsberg | Regency Enterprises | Escape Artists | New Regency Pictures,United States of America,14431253,91.0,Released,Unfinished Business,5.0,320,Vince Vaughn | Dave Franco,2015,Ken Scott,Todd Black
34000000,Drama | Romance,10436,Drama | Romance,en,9.133747,Columbia Pictures,United States of America,32255440,139.0,Released,The Age of Innocence,7.0,169,Daniel Day-Lewis | Michelle Pfeiffer,1993,Martin Scorsese,Barbara De Fina
35000000,Drama | Adventure | Science Fiction | Romance,1381,Drama | Adventure | Science Fiction | Romance,en,24.606012,Regency Enterprises | Warner Bros. | Muse Entertainment Enterprises | Protozoa Pictures | New Regency Pictures,United States of America,15304890,96.0,Released,The Fountain,6.8,827,Hugh Jackman | Rachel Weisz,2006,Darren Aronofsky,Iain Smith
70000000,Action | Comedy | Thriller,2162,Action | Comedy | Thriller,en,3.276912,Warner Bros. | Morgan Creek Productions,United States of America,11263966,101.0,Released,Chill Factor,5.3,29,Cuba Gooding Jr. | Skeet Ulrich,1999,Hugh Johnson,James G. Robinson
35000000,Action | Crime | Drama | Thriller,127493,Action | Crime | Drama | Thriller,en,16.830184,Saturn Films | Nu Image Films | Millennium Films,United States of America,2106557,96.0,Released,Stolen,5.1,344,Nicolas Cage | Malin Åkerman,2012,Simon West,René Besson
41677699,Animation | Family,12429,Animation | Family,ja,39.58676,Studio Ghibli | The Yomiuri Shimbun | Hakuhodo DY Media Partners | Mitsubishi | Lawson | Walt Disney Company | Taikei Office | Asahi Soft Drinks Company,Japan,187479518,100.0,Released,Ponyo,7.5,926,Yuria Nara | Hiroki Doi,2008,Hayao Miyazaki,Toshio Suzuki
34000000,Drama | Romance,228205,Drama | Romance,en,41.946523,Fox 2000 Pictures | Temple Hill Entertainment,United States of America,63013281,128.0,Released,The Longest Ride,7.3,1064,Scott Eastwood | Britt Robertson,2015,"George Tillman, Jr.",Wyck Godfrey
75000000,Drama | Science Fiction | Thriller,2900,Drama | Science Fiction | Thriller,en,20.697556,New Line Cinema | Mad Chance,United States of America,19598588,109.0,Released,The Astronaut's Wife,5.4,254,Johnny Depp | Charlize Theron,1999,Rand Ravich,Andrew Lazar
34000000,Romance | Drama | Adventure,21311,Romance | Drama | Adventure,en,1.656695,Columbia Pictures,United States of America,0,114.0,Released,I Dreamed of Africa,5.3,18,Kim Basinger | Vincent Pérez,2000,Hugh Hudson,
35000000,Comedy | Romance,77875,Comedy | Romance,en,17.932561,Evil Twins | Eclectic pictures | Millennium Films,United States of America,0,106.0,Released,Playing for Keeps,5.4,240,Gerard Butler | Jessica Biel,2012,Gabriele Muccino,Jonathan Mostow
